Date,AAPL,AMZN,GLD,KO,TSLA,XOM
2023-01-03,123.09603118896484,85.81999969482422,171.05999755859375,57.1263542175293,108.0999984741211,95.43419647216797
2023-01-04,124.36565399169922,85.13999938964844,172.6699981689453,57.099124908447266,113.63999938964844,95.71196746826172
2023-01-05,123.04680633544922,83.12000274658203,170.52000427246094,56.445735931396484,110.33999633789062,97.85343170166016
2023-01-06,127.57420349121094,86.08000183105469,173.7100067138672,57.53472137451172,113.05999755859375,99.03616333007812
2023-01-09,128.09585571289062,87.36000061035156,174.10000610351562,56.81781005859375,119.7699966430664,97.19037628173828
2023-01-10,128.66665649414062,89.87000274658203,174.74000549316406,56.3822135925293,118.8499984741211,98.64191436767578
2023-01-11,131.3831329345703,95.08999633789062,174.6199951171875,56.273311614990234,123.22000122070312,99.78881072998047
2023-01-12,131.3043975830078,95.2699966430664,176.63999938964844,55.54732894897461,123.55999755859375,101.44644165039062
2023-01-13,132.63307189941406,98.12000274658203,178.75999450683594,55.746971130371094,122.4000015258789,101.38372802734375
2023-01-17,133.7944793701172,96.05000305175781,177.58999633789062,55.97383499145508,131.49000549316406,101.18660736083984
2023-01-18,133.0759735107422,95.45999908447266,177.0800018310547,54.2768440246582,128.77999877929688,99.10785675048828
2023-01-19,133.13507080078125,93.68000030517578,179.88999938964844,54.19517135620117,127.16999816894531,99.7440185546875
2023-01-20,135.6939697265625,97.25,179.2899932861328,54.52186584472656,133.4199981689453,101.56291198730469
2023-01-23,138.8828887939453,97.5199966430664,179.6300048828125,54.65798568725586,143.75,101.03426361083984
2023-01-24,140.28045654296875,96.31999969482422,180.27999877929688,54.94837951660156,143.88999938964844,101.97509002685547
2023-01-25,139.62100219726562,97.18000030517578,181.11000061035156,55.2932243347168,144.42999267578125,101.43748474121094
2023-01-26,141.68788146972656,99.22000122070312,179.47000122070312,55.18433380126953,160.27000427246094,105.51433563232422
2023-01-27,143.6267547607422,102.23999786376953,179.22000122070312,54.89393615722656,177.89999389648438,103.58789825439453
2023-01-30,140.74302673339844,100.55000305175781,178.75999450683594,55.030052185058594,166.66000366210938,101.7510757446289
2023-01-31,142.01268005371094,103.12999725341797,179.41000366210938,55.64714813232422,173.22000122070312,103.9463119506836
2023-02-01,143.13470458984375,105.1500015258789,181.6699981689453,55.656219482421875,181.41000366210938,102.80838012695312
2023-02-02,148.4396209716797,112.91000366210938,177.89999389648438,54.703365325927734,188.27000427246094,99.59169006347656
2023-02-03,152.0615234375,103.38999938964844,173.4600067138672,54.29499053955078,189.97999572753906,100.28162384033203
2023-02-06,149.33523559570312,102.18000030517578,173.82000732421875,54.60354232788086,194.75999450683594,100.11138153076172
2023-02-07,152.20916748046875,102.11000061035156,173.97999572753906,54.512786865234375,196.80999755859375,102.96965026855469
2023-02-08,149.52224731445312,100.05000305175781,174.41000366210938,54.19517135620117,201.2899932861328,102.07363891601562
2023-02-09,148.48883056640625,98.23999786376953,173.02999877929688,54.10441207885742,207.32000732421875,102.45893096923828
2023-02-10,148.85354614257812,97.61000061035156,173.36000061035156,54.10441207885742,196.88999938964844,106.77770233154297
2023-02-13,151.65296936035156,99.54000091552734,172.47999572753906,54.99375534057617,194.63999938964844,106.36235809326172
2023-02-14,151.0122833251953,99.69999694824219,172.61000061035156,54.07719802856445,209.25,105.11636352539062
2023-02-15,153.11183166503906,101.16000366210938,170.88999938964844,54.07719802856445,214.24000549316406,104.80033874511719
